CT,Total,Aboriginal,North American ,European,Carribean,Latin,African,Oceania,Middle Eastern,South Asian,East Asian,Other Asian
0000.00,5521235,64725,768350,2813395,308425,185910,221595,9040,250155,857575,986860,11625
0001.00,605,85,205,325,75,0,0,0,0,0,135,0
0002.00,645,0,120,640,0,0,0,0,0,0,0,0
0004.00,6445,190,575,3285,290,220,405,0,110,320,1975,30
0005.00,5220,115,735,2495,360,200,365,0,130,495,1235,10
0007.01,3220,35,455,1530,140,75,260,45,60,235,835,0
0007.02,4795,115,625,2410,295,210,285,0,150,455,995,25
0008.00,9225,175,1245,5880,385,410,535,45,450,730,1345,0
0010.01,4575,70,820,3280,230,125,240,20,135,225,570,0
0010.02,6855,250,1075,5145,190,280,270,35,195,305,995,0
0011.00,8510,145,1245,5335,125,250,345,75,485,645,1450,0
0012.01,5910,125,1000,3020,190,125,240,20,345,490,1555,0
0012.02,10645,115,1455,5755,275,455,380,0,840,1265,2180,35
0013.00,10585,120,1090,5745,430,260,610,25,700,1295,2145,80
0015.00,3330,70,430,2175,140,80,120,0,160,225,565,0
0016.00,5780,90,1050,3925,145,215,200,0,350,465,785,0
0017.00,6855,270,1095,4540,375,255,665,20,290,345,895,0
0018.00,1980,25,445,1405,65,35,10,0,0,10,365,0
0019.00,2905,100,495,1565,100,25,175,0,30,105,940,0
0020.00,2285,10,550,1910,30,0,15,10,20,65,245,0
0021.00,5080,150,1065,4405,55,135,85,50,65,95,250,0
0022.00,3775,110,995,3205,215,30,70,45,45,105,175,0
0023.00,3300,90,900,2865,30,55,65,0,45,90,165,0
0024.00,6505,190,1600,5665,160,110,325,70,135,210,365,0
0025.00,3295,115,750,2595,15,75,210,20,20,165,320,0
0026.00,6330,135,1280,3805,315,100,150,15,140,550,1685,0
0027.00,4370,200,725,2290,190,65,120,0,75,190,1540,0
0028.00,5840,150,1035,3505,145,115,180,75,105,290,1545,0
0029.00,6340,95,885,2895,205,95,235,20,110,335,2770,0
0030.00,3090,75,320,1375,100,115,335,0,70,550,645,0
0031.00,6225,90,665,1120,350,110,920,0,105,2185,1415,0
0032.00,4175,165,680,2655,105,175,530,0,135,145,580,0
0033.00,4390,70,650,1980,270,280,885,0,135,345,575,0
0034.01,4230,45,435,2035,110,155,165,0,295,330,1300,25
0034.02,4955,85,695,2555,450,280,425,0,265,280,915,0
0035.00,7180,45,590,2480,290,150,270,35,1025,625,2570,175
0036.00,4910,75,665,2055,100,155,195,0,165,250,2170,45
0037.00,4585,55,475,1600,60,30,105,0,325,210,2240,0
0038.00,3880,35,570,1680,60,40,95,0,40,70,1780,0
0039.00,4620,35,495,1285,265,200,400,0,170,185,2385,0
0040.00,4875,95,530,2695,50,100,55,30,35,75,1845,0
0041.00,3435,50,385,2085,30,40,135,0,30,100,1095,0
0042.00,4455,95,505,3600,115,90,55,60,35,65,615,0
0043.00,3735,25,595,2995,25,65,65,25,95,65,475,0
0044.00,4915,75,630,4025,90,135,155,20,65,65,465,0
0045.00,3610,35,325,2605,155,185,75,0,0,170,785,0
0046.00,3295,130,385,2220,155,180,190,0,70,160,555,0
0047.01,3430,70,650,2600,110,30,45,0,0,395,290,0
0047.02,4185,65,475,2135,145,195,205,0,45,455,930,0
0048.00,3405,35,525,2905,15,40,55,0,95,95,235,0
0049.00,3215,65,775,2790,95,55,40,0,25,80,205,0
0050.01,6820,40,1100,5695,90,155,135,0,145,120,725,0
0050.02,5950,40,1190,4585,200,220,145,45,200,240,505,0
0051.00,5305,100,875,4495,120,55,50,45,125,260,395,0
0052.00,3855,95,595,3160,95,130,85,0,50,110,365,0
0053.00,5635,120,590,4195,95,465,100,0,100,230,645,0
0054.00,5745,150,550,3635,185,230,245,0,250,660,875,0
0055.00,2680,40,450,1940,65,155,130,0,130,175,285,0
0056.00,4775,55,590,3750,200,110,75,0,55,85,670,0
0057.00,2360,50,285,1855,30,35,30,0,50,60,325,0
0058.00,3870,75,755,2980,55,225,150,0,65,35,585,0
0059.00,3430,40,760,2410,45,50,55,0,115,185,630,0
0060.00,2400,0,280,1545,75,20,75,0,50,110,670,0
0061.00,755,0,70,365,0,55,40,0,20,25,290,0
0062.01,4980,60,490,2415,120,215,160,0,370,530,1385,0
0062.02,6375,50,530,3090,170,170,205,45,605,605,1960,35
0063.01,8235,240,1230,5170,155,180,215,100,435,585,1515,0
0063.02,6840,160,1245,4535,150,300,305,0,335,365,1035,0
0064.00,3675,120,650,2245,130,180,130,35,205,485,430,0
0065.00,13915,185,1290,3500,645,400,1360,0,430,3030,4495,85
0066.00,7370,145,1245,4840,180,275,145,0,355,445,1230,30
0067.00,1660,75,405,1480,30,0,40,0,20,40,85,0
0068.00,2325,20,405,1785,65,35,0,0,30,130,335,0
0069.00,5220,90,870,3475,100,115,75,45,60,145,1435,0
0070.00,3230,65,660,2620,70,75,80,30,20,60,405,0
0071.00,3485,50,825,2880,160,80,80,0,20,40,350,0
0072.01,4620,210,650,2540,310,180,410,0,250,300,850,0
0072.02,3090,30,610,2210,85,25,65,0,95,190,415,0
0073.00,2725,90,250,1005,85,10,90,0,0,185,1375,0
0074.00,3620,115,775,1670,380,40,85,50,100,380,895,0
0075.00,4050,90,545,2605,195,55,165,25,65,275,815,0
0076.00,3905,35,855,2670,260,90,100,15,70,205,570,0
0077.00,4470,170,1030,3210,110,125,210,55,75,290,470,0
0078.00,5835,195,1225,4640,210,140,165,20,185,85,480,0
0079.00,6825,230,1705,5530,310,50,220,0,75,265,645,0
0080.01,3410,35,675,2525,140,80,50,10,80,175,445,0
0080.02,4405,90,770,1435,385,165,245,0,170,990,1025,0
0081.00,2740,40,470,1970,50,60,100,0,35,100,550,0
0082.00,2625,45,555,1995,35,50,20,0,25,80,475,0
0083.00,4010,85,770,2965,75,35,65,0,165,460,415,0
0084.00,3620,75,765,2990,85,60,70,20,75,65,335,0
0085.00,3880,160,710,2905,150,95,90,0,145,185,435,0
0086.00,2655,55,805,2180,0,0,25,40,65,70,125,0
0087.00,4995,45,830,4310,50,60,45,50,100,170,260,0
0088.00,2780,15,300,1765,100,70,70,0,120,125,600,0
0089.00,3130,100,360,2345,35,50,85,0,355,100,310,0
0090.00,3520,30,580,2840,105,65,45,0,115,185,305,0
0091.01,5285,120,780,4140,160,70,100,65,245,140,715,0
0091.02,3175,40,535,2240,85,80,175,0,200,110,270,0
0092.00,7055,195,1235,5210,180,160,185,60,260,190,990,0
0093.00,5260,75,845,4170,100,85,210,50,90,175,685,0
0094.00,5050,115,755,3500,145,110,175,0,40,125,1090,0
0095.00,3130,35,355,2445,105,115,60,0,85,155,465,0
0096.00,4935,90,600,3605,130,370,110,20,90,160,680,0
0097.01,4135,20,430,1945,180,290,110,0,190,735,710,0
0097.02,5360,105,470,3565,350,215,240,0,95,295,745,10
0098.00,6785,100,885,4215,505,540,295,0,160,305,1020,0
0099.00,6325,165,960,3900,205,435,265,0,420,355,940,0
0101.00,3025,60,530,2355,120,175,0,0,85,60,260,0
0102.01,1505,0,320,1250,0,0,0,20,80,35,110,0
0102.02,4255,30,785,3165,50,125,215,0,215,235,300,0
0102.03,3120,0,285,2550,50,145,25,10,230,140,230,0
0103.00,5785,70,830,4930,70,90,70,0,125,130,590,0
0104.00,5305,140,1130,4400,95,95,100,15,125,205,505,0
0105.00,4405,140,950,3275,130,135,115,0,70,150,330,0
0106.00,3865,40,275,1585,170,265,100,0,60,325,1420,15
0107.00,5865,45,575,3450,400,770,190,0,40,185,1080,0
0108.00,6135,105,680,3675,685,320,740,0,65,375,550,0
0109.00,4955,105,625,3310,250,190,130,0,95,220,820,0
0110.00,3415,15,230,2365,300,395,255,15,50,105,540,0
0111.00,2480,80,195,1955,140,245,40,0,0,150,75,0
0112.00,5000,45,575,3710,160,420,110,0,50,125,460,0
0113.00,2660,95,530,1875,250,290,70,0,25,35,150,0
0114.00,5045,55,800,4010,215,240,135,0,35,100,535,0
0115.00,4070,100,330,2645,180,290,285,0,110,100,920,0
0116.00,3670,85,585,2655,205,100,140,0,85,115,550,0
0117.00,2090,20,415,1680,50,55,55,15,30,70,145,0
0118.00,3865,35,710,3095,70,145,265,30,105,150,340,0
0119.00,4450,45,640,3680,95,115,125,0,145,105,435,0
0120.00,1365,0,310,1175,0,0,15,0,45,30,155,0
0121.00,2080,0,415,1665,30,25,45,0,55,60,100,0
0122.00,5930,65,1010,5070,70,100,50,25,280,140,380,0
0123.00,2155,50,295,1590,50,50,60,0,200,130,155,0
0124.00,5230,60,930,4165,50,120,120,0,205,110,370,35
0125.00,4505,35,1175,3880,40,70,125,70,130,40,280,0
0126.00,4105,95,1010,3395,20,45,105,0,125,130,320,0
0127.00,5365,55,1115,4425,125,65,85,0,115,145,525,0
0128.02,8120,45,1330,5710,250,270,225,25,690,245,1110,0
0128.03,4725,90,935,2790,205,200,110,0,430,355,680,0
0128.04,4105,30,655,2745,200,195,175,0,205,285,390,0
0129.00,4940,75,1110,3935,55,100,60,0,105,80,520,0
0130.00,3585,0,625,2935,60,20,35,0,100,100,315,0
0131.00,5405,30,875,4575,85,80,50,10,130,90,430,0
0132.00,5440,30,705,4230,65,110,150,0,280,180,775,0
0133.00,6900,25,960,4630,195,365,365,20,285,55,1135,0
0134.00,2755,50,580,2385,15,85,25,15,85,40,235,0
0135.00,5625,100,1175,4220,85,195,145,0,290,170,640,0
0136.01,6070,55,720,4155,125,280,285,0,435,285,930,0
0136.02,4995,75,595,3330,125,145,185,0,310,400,835,0
0137.00,6510,70,1400,4890,180,140,250,25,265,180,545,0
0138.00,3120,0,1025,2645,40,45,120,55,70,15,170,0
0139.00,6670,105,1615,5235,85,130,85,80,180,135,830,0
0140.00,2520,0,785,2050,25,25,0,0,55,50,165,0
0141.01,4250,65,985,3305,70,0,20,175,85,205,560,0
0141.02,4600,30,1210,3670,95,65,40,25,100,70,435,0
0142.00,5655,50,1275,4460,80,160,100,70,140,155,675,0
0150.00,4190,60,1065,3715,135,35,25,0,55,40,175,0
0151.00,3640,60,565,2260,180,280,710,0,110,70,135,0
0152.00,4310,75,665,3450,45,70,125,0,140,205,485,0
0153.00,4600,75,490,2770,300,435,110,0,30,280,1010,0
0154.00,5795,95,725,4435,210,570,95,0,50,200,505,0
0155.00,3420,130,205,1680,415,290,560,0,15,60,395,0
0156.01,5815,55,540,2290,730,1080,410,0,45,500,1140,30
0156.02,2625,0,390,1435,145,260,90,0,0,225,445,0
0157.00,2640,55,370,1185,200,540,250,0,60,125,340,0
0158.00,2155,65,145,870,420,115,80,0,15,230,440,50
0159.01,3835,40,165,2015,465,195,195,0,0,400,670,0
0159.02,4560,25,240,3070,385,320,135,0,90,130,545,0
0160.00,3260,85,150,2385,290,145,30,0,20,30,390,0
0161.00,6615,75,555,3900,390,905,230,0,50,355,1110,0
0162.00,4805,110,345,2860,400,470,220,0,170,310,815,0
0163.00,4325,35,430,3020,310,430,285,0,100,125,555,0
0164.00,6320,35,800,3805,870,315,455,30,75,160,835,0
0165.00,4295,130,680,3240,210,170,110,0,125,85,510,0
0166.00,4120,15,710,3190,160,165,115,0,150,150,495,0
0167.01,1590,0,110,1360,25,75,40,0,0,75,125,0
0167.02,5620,70,605,3550,375,300,245,0,145,130,1250,20
0168.00,5415,60,370,2905,625,420,185,0,70,225,1440,0
0169.01,3430,30,485,1440,330,130,265,0,25,150,1155,0
0169.02,7425,35,635,4510,495,640,375,0,245,240,1420,0
0170.00,3445,0,365,1845,155,360,145,0,10,190,805,50
0171.00,3920,0,255,1845,720,145,460,0,95,560,245,0
0172.00,2530,0,285,1050,650,295,125,0,100,160,175,0
0173.00,3210,50,360,1215,670,375,280,0,50,155,565,0
0174.00,7005,0,555,2605,1180,975,1145,0,130,550,1040,0
0175.01,5755,25,525,2260,1420,530,1020,0,165,290,715,0
0175.02,7950,170,790,3035,1820,860,1265,0,225,680,670,0
0176.00,4200,25,1015,2645,235,375,30,0,45,255,375,0
0180.00,6315,240,1225,3490,350,160,430,0,280,765,920,25
0181.01,4330,200,840,2830,220,105,185,0,25,300,840,0
0181.02,3470,50,505,2430,130,35,170,85,75,260,410,0
0182.00,5325,125,1055,3875,225,100,105,0,135,210,820,0
0183.00,6430,110,1210,4715,110,120,185,0,300,280,895,0
0184.01,4875,85,715,3445,160,130,65,0,45,340,800,0
0184.02,3755,40,630,2650,105,95,35,0,60,245,750,0
0185.01,6765,105,995,4880,270,180,135,0,350,190,725,0
0185.02,4670,95,485,3410,175,105,145,25,220,165,555,0
0186.00,2315,55,650,1945,30,30,0,0,30,20,95,0
0187.00,3405,35,455,2570,110,45,25,0,50,120,585,0
0188.00,1940,40,380,1555,55,0,0,0,0,40,245,0
0189.00,5300,145,1030,3420,260,185,305,0,240,365,565,25
0190.01,9080,105,665,1745,255,210,475,0,340,5155,1035,30
0190.02,4610,290,910,2310,380,185,220,0,55,725,820,0
0191.00,4210,140,795,2940,190,45,60,0,35,275,545,0
0192.00,955,0,135,530,75,30,0,0,40,185,80,0
0193.00,3060,10,310,2230,120,55,115,0,260,290,215,0
0194.01,5315,30,165,835,10,165,225,0,1065,3175,155,40
0194.02,5535,25,370,1155,215,160,220,0,605,3175,395,135
0194.03,2765,0,190,745,150,95,170,20,140,890,820,0
0194.04,5490,70,415,1675,135,150,195,0,620,2265,740,0
0195.00,6460,140,1490,5005,75,85,165,40,365,245,665,0
0196.00,7675,120,2150,6115,75,100,160,20,165,145,590,0
0200.00,6340,50,1025,4345,160,400,290,0,365,300,460,0
0201.00,4870,125,835,3530,120,145,85,0,185,195,500,0
0202.00,1630,0,365,1295,0,25,15,20,0,30,125,0
0203.00,3010,40,520,2135,120,80,120,0,75,40,400,0
0204.00,4375,75,1080,3610,170,70,75,20,100,70,155,0
0206.01,3950,105,805,3020,125,145,65,0,105,125,385,0
0206.02,5640,195,1305,4200,305,385,155,0,70,185,485,0
0207.00,2310,85,420,1510,120,85,50,0,30,55,465,0
0208.00,3990,75,575,1905,640,250,505,0,170,285,415,0
0209.00,2665,20,455,1720,105,45,45,0,50,170,375,0
0210.00,7825,50,1155,5640,265,350,160,10,270,435,1010,0
0211.00,6270,125,1040,4895,130,110,50,0,60,295,580,0
0212.00,5590,145,1160,4405,110,50,65,0,60,180,450,0
0213.00,6635,45,755,4255,125,290,155,0,240,410,1180,0
0214.00,4300,55,615,3115,160,90,55,0,60,120,740,0
0215.00,6515,60,1300,4595,160,185,75,35,170,340,755,0
0216.00,5390,90,915,4370,205,160,60,20,165,220,265,0
0217.00,5780,80,630,4675,155,255,130,0,145,195,215,0
0218.00,2655,100,520,2380,45,25,35,0,35,65,115,0
0219.00,4190,15,750,3590,15,45,45,0,60,245,175,30
0220.00,4005,40,595,3270,110,50,70,0,80,65,350,0
0221.01,6360,105,995,5325,60,40,85,0,120,170,525,0
0221.02,4150,45,740,2340,115,105,20,0,490,490,555,0
0222.01,5405,60,915,3910,115,245,185,30,175,320,535,0
0222.02,4780,75,505,2775,275,190,215,0,190,530,510,0
0223.00,3740,25,620,2895,40,55,0,50,65,235,380,0
0224.00,1725,0,190,1425,25,30,0,0,0,70,225,0
0225.01,5035,70,785,3830,85,45,105,0,150,220,525,0
0225.02,7525,100,585,3370,260,310,885,0,385,995,1445,20
0226.00,3235,20,600,2775,25,20,20,15,0,45,245,0
0227.00,1745,15,370,1505,0,0,0,0,0,25,175,0
0228.00,2970,25,590,2475,70,90,30,0,60,160,220,0
0229.00,1150,20,235,1055,0,0,0,10,10,0,0,0
0230.01,2365,0,425,1905,65,45,0,0,65,20,100,0
0230.02,6050,25,515,4560,235,540,375,0,195,70,280,0
0231.00,6485,65,1200,5360,70,170,35,30,40,140,490,0
0232.00,3970,50,775,3475,50,45,30,25,90,145,150,0
0233.00,5450,55,830,3950,135,65,165,0,45,365,485,0
0234.00,4540,25,585,3290,340,130,100,0,55,125,485,0
0235.01,2810,35,595,1980,45,110,60,0,0,195,335,0
0235.02,5395,55,765,3475,65,120,425,0,155,580,460,0
0236.01,6365,65,820,3630,410,225,545,0,320,620,660,0
0236.02,6005,60,915,4155,200,120,255,0,105,495,735,0
0237.01,6260,20,660,1875,665,395,1020,0,185,1300,700,60
0237.02,2940,0,305,2235,20,80,65,0,75,305,160,0
0237.03,5520,60,765,3095,205,390,325,0,310,685,245,0
0238.01,3355,20,515,2780,60,55,35,0,0,80,250,0
0238.02,5200,35,510,2760,255,400,165,0,425,815,390,0
0239.00,6565,0,840,3440,700,210,925,0,580,420,555,0
0240.01,3355,0,305,2900,25,75,0,0,20,80,260,0
0240.02,5160,0,485,4065,45,320,155,0,240,145,200,0
0241.00,2855,15,180,2305,65,70,0,0,55,205,135,0
0242.00,1685,35,170,805,355,25,425,0,65,0,45,0
0243.01,6460,0,430,1100,255,135,2130,0,290,2190,425,45
0243.02,3400,30,265,1875,215,160,270,0,120,550,305,0
0244.01,5795,55,680,2650,380,445,550,0,495,575,765,0
0244.02,3745,120,380,1080,655,385,555,0,55,320,550,0
0245.00,6900,220,1100,3540,655,790,320,0,70,960,500,0
0246.00,3265,60,395,1840,225,150,115,0,125,500,290,0
0247.01,8240,0,270,990,1005,700,525,0,235,4550,475,40
0247.02,6855,60,805,3010,450,420,300,0,170,1710,915,40
0248.02,5675,0,295,1025,995,370,1860,0,420,815,500,0
0248.03,2700,0,90,460,645,300,230,0,25,1000,220,0
0248.04,5530,0,460,560,840,535,775,0,80,2340,405,0
0248.05,4145,20,240,980,515,220,225,0,80,1410,985,0
0249.01,4830,0,150,1105,460,660,295,0,0,2315,425,0
0249.03,5845,15,605,1150,905,495,640,0,60,2595,440,0
0249.04,3260,0,150,700,270,175,150,0,85,1765,270,0
0249.05,5510,0,140,380,280,95,455,0,1135,3160,180,110
0250.01,5040,175,540,1440,335,405,335,0,440,1735,440,0
0250.02,4950,20,415,2310,475,380,635,0,230,795,365,0
0250.04,6030,20,325,580,1200,505,1195,0,230,2425,170,40
0250.05,7405,0,160,815,875,290,930,0,2055,2415,260,35
0260.01,6870,70,455,1290,205,85,415,0,635,3015,1555,0
0260.03,7410,35,470,2080,430,220,635,0,725,2190,1400,155
0260.04,4085,0,120,700,110,185,430,0,1060,1160,640,25
0260.05,3800,65,235,930,215,215,640,0,475,1050,380,0
0261.00,5130,80,395,1445,280,200,560,0,325,1870,585,15
0262.01,5470,175,865,2775,410,140,245,0,290,685,805,0
0262.02,6260,40,640,2885,540,145,510,0,1370,420,835,0
0263.02,3050,15,375,1795,70,85,80,0,225,200,730,0
0263.03,5320,90,530,2790,155,195,235,15,300,535,1475,10
0263.04,5245,30,615,2670,145,140,270,0,730,780,795,0
0264.00,1450,0,95,665,0,35,35,0,165,110,510,0
0265.00,3985,40,930,3370,40,40,65,0,145,50,310,0
0266.00,3215,50,430,2380,0,0,30,25,210,75,530,0
0267.00,6600,0,825,3145,45,10,175,0,400,620,2420,0
0268.00,6310,30,965,4035,105,65,315,0,310,345,1195,0
0269.01,4920,75,375,1710,595,390,410,0,640,825,895,0
0269.02,2575,55,330,1385,420,70,240,0,95,100,510,0
0270.01,5150,180,600,3120,245,225,225,30,400,485,980,0
0270.02,4040,65,830,2320,440,195,440,0,505,270,405,0
0271.01,2455,20,380,1580,160,30,50,0,115,285,440,0
0271.02,4795,60,680,2455,390,135,235,0,510,390,770,0
0272.01,5875,50,590,2375,735,320,415,0,425,935,1325,0
0272.02,4745,15,400,1995,230,100,335,0,395,795,1090,0
0273.01,3990,0,395,1950,95,50,155,0,440,315,1255,0
0273.02,4300,0,455,2100,70,20,25,0,355,325,1540,0
0274.01,4865,70,570,2855,150,195,165,20,530,225,1200,0
0274.02,4725,100,580,2935,55,40,95,0,415,220,1060,0
0275.00,5710,0,1340,4420,215,20,40,15,305,80,480,0
0276.01,6320,70,805,5030,110,40,205,0,260,100,815,0
0276.02,6700,105,1330,5250,20,115,155,0,400,140,885,0
0277.00,4210,0,745,3425,60,95,65,0,215,25,480,0
0278.00,7755,95,1115,6235,170,115,345,0,430,135,705,0
0279.01,4170,20,225,3095,65,220,65,0,100,120,605,0
0279.02,6030,0,370,2905,600,355,280,0,150,640,1460,20
0280.00,7160,110,700,3370,965,965,385,0,355,750,515,30
0281.01,6470,0,380,1950,750,485,600,0,35,900,2045,0
0281.02,3870,20,380,1275,945,515,830,0,45,115,355,0
0282.00,4335,20,610,2630,235,405,155,0,50,355,425,0
0283.01,5290,0,290,1860,1210,530,1080,0,95,445,670,0
0283.02,4605,25,305,2315,490,240,1170,0,30,100,245,0
0284.00,6605,55,565,3590,365,400,75,0,140,1125,880,10
0285.00,3335,0,330,2095,200,245,190,0,95,185,530,0
0286.00,3610,95,355,1830,505,230,490,0,150,215,380,0
0287.01,7435,35,935,3670,870,220,1190,0,545,300,1085,0
0287.02,6010,70,445,2850,305,230,325,0,185,145,2325,0
0288.00,8395,25,1025,4645,380,190,230,0,245,235,2660,0
0289.00,4505,0,495,2585,130,375,55,0,415,145,745,0
0290.00,4630,30,490,2305,600,640,230,0,15,275,995,0
0291.01,3785,50,335,2070,390,285,150,0,250,70,640,0
0291.02,4890,0,350,2590,445,290,335,0,95,220,995,0
0292.00,6925,25,645,1900,1520,905,870,0,60,600,1235,0
0293.00,4295,15,475,2435,445,265,225,0,130,205,570,0
0294.01,4340,20,555,1765,515,585,495,0,325,95,580,0
0294.02,4660,30,410,1505,550,1280,185,0,45,335,930,35
0295.00,5310,75,480,2500,575,580,315,0,245,330,1225,0
0296.00,145,0,0,135,20,0,0,0,0,0,0,0
0297.01,6555,20,550,4430,110,320,80,10,515,255,1075,0
0297.02,6160,0,600,4415,45,120,155,0,400,205,1120,0
0298.00,4480,0,645,3695,45,155,140,0,125,0,495,0
0299.01,5925,55,1025,3965,170,125,65,0,355,235,1095,0
0299.02,4140,10,360,1405,150,45,75,0,760,265,1400,0
0300.00,10040,15,990,3915,160,260,335,15,1665,570,3400,95
0301.01,2940,0,345,1405,235,30,85,0,125,180,1065,0
0301.03,4400,55,200,760,135,60,220,0,825,1205,1395,20
0301.04,4065,15,255,900,285,140,135,0,745,985,1160,0
0302.01,6390,50,780,2805,90,225,140,0,720,405,2140,0
0302.02,6165,0,240,1995,185,140,210,0,505,715,2965,0
0302.03,3580,30,200,995,115,80,25,0,240,500,1720,0
0303.00,5425,15,235,1255,270,130,175,0,700,590,2400,0
0304.01,4540,0,335,1450,180,170,195,25,865,635,1335,0
0304.02,4010,50,335,1885,70,35,25,0,455,255,1375,115
0304.03,2820,25,280,1095,350,80,145,0,160,180,1115,0
